File,x1_1,y1_1,x2_1,y2_1,c_1,x1_2,y1_2,x2_2,y2_2,c_2,x1_3,y1_3,x2_3,y2_3,c_3,x1_4,y1_4,x2_4,y2_4,c_4
IMG-20241208-WA0005.jpg,404,107,490,132,0,269,123,346,148,1,197,145,487,170,2,161,203,491,290,3
IMG-20241208-WA0003.jpg,399,113,487,139,0,265,132,341,154,1,199,154,434,177,2,159,210,484,451,3
IMG-20241208-WA0004.jpg,398,99,484,124,0,271,120,346,141,1,207,139,491,160,2,167,195,489,454,3
IMG-20241208-WA0006.jpg,396,95,485,123,0,260,116,337,136,1,193,133,492,161,2,150,192,482,466,3
IMG-20241208-WA0007.jpg,390,85,478,110,0,262,104,340,125,1,200,125,456,146,2,161,180,479,433,3
IMG-20241208-WA0008.jpg,395,103,485,130,0,261,126,338,147,1,193,150,478,170,2,153,202,484,249,3
IMG-20241208-WA0009.jpg,391,85,477,111,0,258,106,341,127,1,199,128,493,148,2,159,184,476,440,3
IMG-20241208-WA0010.jpg,396,79,487,107,0,255,98,343,121,1,189,115,500,148,2,146,179,484,231,3
IMG-20241208-WA0011.jpg,402,99,490,126,0,268,119,346,142,1,199,136,473,162,2,158,199,494,461,3
IMG-20241208-WA0012.jpg,385,119,475,142,0,245,138,335,159,1,186,163,478,181,2,142,212,476,500,3
IMG-20241208-WA0013.jpg,395,94,487,122,0,262,119,342,140,1,198,137,492,166,2,158,196,488,256,3
IMG-20241208-WA0014.jpg,395,95,481,120,0,262,114,339,136,1,197,131,462,157,2,158,191,482,453,3
IMG-20241208-WA0015.jpg,400,90,487,116,0,267,106,347,129,1,202,129,483,154,2,161,184,483,284,3
IMG-20241208-WA0016.jpg,394,87,481,113,0,261,102,340,125,1,196,122,461,150,2,153,180,482,450,3
IMG-20241208-WA0017.jpg,389,53,487,95,0,368,91,456,113,1,215,100,449,138,2,153,173,480,296,3
IMG_20241229_072558.jpg,367,74,489,110,0,363,113,482,140,1,194,125,439,157,2,139,178,512,560,3
IMG_20241229_072919.jpg,364,74,495,104,1,109,170,500,361,3
IMG_20241229_073018_1.jpg,348,64,509,97,0,382,93,504,121,1,216,90,321,153,2,147,210,509,355,3
IMG_20241229_073240_1.jpg,362,91,488,122,1
IMG_20241229_073519.jpg,344,59,513,100,0,379,93,510,122,1,202,92,324,159,2,131,208,511,247,3
IMG_20241229_073704.jpg,337,39,519,82,0,373,76,514,113,1,180,71,373,150,2,110,207,513,434,3
IMG_20241229_073814.jpg,406,86,541,116,1,214,88,353,153,2,154,208,533,350,3
IMG_20241229_073935.jpg,333,48,515,86,0,372,85,514,110,1,170,88,418,154,2,107,221,518,273,3
IMG_20241229_074009_1.jpg,315,38,487,74,0,347,71,482,101,1,173,78,471,139,2,103,201,494,316,3
IMG_20241229_074435.jpg,336,41,509,88,0,368,80,500,110,1,181,76,494,158,2,107,205,509,409,3
IMG_20241229_074450_1.jpg,324,63,481,99,0,354,96,477,121,1,179,97,424,157,2,125,213,483,297,3
IMG_20241229_074503.jpg,323,70,486,111,0,352,104,476,135,1,169,98,357,164,2,114,224,481,435,3
IMG_20241229_074514_1.jpg,342,86,500,124,0,369,120,496,150,1,195,118,447,181,2,142,235,498,416,3
IMG_20241229_074536.jpg,313,49,490,91,0,354,84,484,114,1,160,90,394,147,2,92,203,476,241,3
IMG_20241229_074550.jpg,316,24,494,61,0,353,67,491,90,1,160,63,404,137,2,92,199,497,291,3
IMG_20241229_074654_1.jpg,334,8,531,43,0,375,40,531,70,1,197,82,466,113,2,97,180,520,312,3
IMG_20241229_074710.jpg,334,28,529,69,0,375,65,520,96,1,179,68,368,137,2,109,193,512,233,3
IMG_20241229_074743.jpg,330,59,507,95,0,369,90,506,119,1,204,124,515,164,2,113,208,499,268,3
IMG_20241229_074759.jpg,343,16,527,53,0,369,53,526,79,1,190,92,387,127,2,102,187,523,250,3
IMG_20241229_074824.jpg,334,43,508,83,0,376,78,511,104,1,171,90,394,150,2,105,205,505,267,3
IMG_20241229_074843.jpg,357,48,536,91,0,395,83,533,117,1,196,83,376,157,2,127,209,529,492,3
IMG_20241229_074900.jpg,349,41,517,76,0,386,75,527,104,1,196,77,419,140,2,122,193,521,402,3
IMG_20241229_074916_1.jpg,338,35,526,73,0,384,68,530,98,1,170,66,426,139,2,105,200,539,399,3
IMG_20241229_074936_1.jpg,354,68,496,109,1
IMG_20241229_074948_1.jpg,380,15,563,56,0,406,51,549,84,1,211,46,431,119,2,143,178,560,283,3
IMG_20241229_075005_1.jpg,333,36,521,70,0,371,62,518,90,1,159,64,349,128,2,88,191,527,247,3
IMG_20241229_075055.jpg,352,7,558,44,0,397,40,556,67,1,174,42,388,112,2,102,185,553,474,3
IMG_20241229_075206_1.jpg,339,55,507,85,0,372,82,507,109,1,190,89,426,149,2,128,205,506,396,3
IMG_20241229_075226.jpg,352,58,534,99,0,389,90,531,119,1,197,93,339,159,2,126,214,525,320,3
IMG_20241229_075239.jpg,354,62,535,101,0,391,94,531,129,1,189,89,392,163,2,124,223,525,389,3
IMG_20241229_075311_1.jpg,311,73,491,105,0,346,98,489,126,1,87,220,488,326,3
IMG_20241229_075327.jpg,367,59,527,83,0,395,81,527,104,1,234,113,447,139,2,157,198,531,514,3
IMG_20241229_075342.jpg,359,71,497,102,1,184,101,355,139,2,84,196,504,262,3
IMG_20241229_075400.jpg,352,72,532,111,0,391,100,529,135,1,216,127,355,167,2,126,224,527,270,3
IMG_20241229_075440.jpg,331,53,520,80,0,375,78,519,102,1,173,88,363,147,2,104,215,527,419,3
IMG_20241229_075450.jpg,332,0,535,36,0,361,33,522,67,1,162,63,466,107,2,70,176,535,318,3
IMG_20241229_075451_1.jpg,336,21,535,61,0,358,57,514,91,1,173,86,472,124,2,88,194,528,332,3
IMG_20241229_075508.jpg,404,52,556,83,1,236,75,455,114,2,150,178,571,260,3
IMG_20241229_075555.jpg,361,53,519,100,0,386,87,518,123,1,233,103,408,151,2,144,188,509,241,3
IMG_20241229_075608_1.jpg,343,49,510,91,0,376,85,503,115,1,199,77,373,149,2,139,201,497,354,3
IMG_20241229_075618_1.jpg,335,73,500,107,0,366,99,496,132,1,189,99,424,166,2,125,222,485,514,3
IMG_20241229_075637_1.jpg,339,59,515,98,0,370,93,509,126,1,185,89,382,166,2,117,220,507,356,3
IMG_20241229_075649.jpg,339,27,518,69,0,371,62,521,101,1,194,95,408,134,2,99,195,510,235,3
IMG_20241229_075703.jpg,357,98,498,133,1
IMG_20241229_075718_1.jpg,378,85,511,119,1
IMG_20241229_075743.jpg,348,57,519,93,0,380,89,515,117,1,214,118,402,153,2,129,214,515,242,3
IMG_20241229_075753_1.jpg,353,75,514,116,0,379,106,516,139,1,218,131,383,171,2,136,219,502,414,3
IMG_20241229_075805.jpg,314,57,492,90,0,354,86,487,119,1,191,119,327,158,2,87,213,487,253,3
IMG_20241229_075819.jpg,351,65,517,99,0,387,97,518,123,1,207,127,393,163,2,141,213,516,429,3
IMG_20241229_075821.jpg,345,49,517,86,0,378,77,518,112,1,202,106,384,154,2,133,204,502,414,3
IMG_20241229_075830.jpg,342,67,505,110,0,372,105,501,138,1,231,129,371,172,2,132,214,502,254,3
IMG_20241229_075841.jpg,324,49,497,92,0,353,83,489,118,1,193,112,326,152,2,103,203,483,287,3
IMG_20241229_080319.jpg,381,24,527,68,0,380,73,522,109,1,195,85,463,131,2,135,151,522,560,3
IMG_20241229_080353.jpg,372,44,496,84,0,360,87,491,120,1,190,100,367,144,2,123,166,510,283,3
IMG_20241229_080431.jpg,351,63,480,105,0,345,106,470,143,1,178,113,424,162,2,115,175,470,529,3
IMG_20241229_080454.jpg,360,44,492,82,0,350,85,484,120,1,174,93,440,143,2,119,156,485,538,3
IMG_20241229_080541.jpg,369,27,502,71,0,353,72,496,106,1,175,90,438,133,2,119,154,501,562,3
IMG_20241229_080554.jpg,378,79,506,119,0,367,123,496,155,1,199,133,438,178,2,145,195,484,558,3
IMG_20250111_122220.jpg,365,61,482,95,0,353,98,475,125,1,202,107,424,145,2,153,163,483,522,3
IMG_20250111_122249.jpg,355,56,481,91,0,340,91,468,125,1,174,108,424,143,2,117,165,485,280,3
IMG_20250111_122316.jpg,360,84,477,117,0,352,119,478,153,1,210,132,300,156,2,136,189,481,345,3
IMG_20250111_122326.jpg,356,109,463,144,0,347,141,465,171,1,211,149,302,176,2,145,204,480,259,3
IMG_20250111_122346.jpg,348,112,463,145,0,341,145,463,175,1,215,156,311,182,2,148,215,475,329,3
IMG_20250111_122355.jpg,334,85,448,117,0,329,123,450,154,1,196,130,298,160,2,114,193,456,221,3
IMG_20250111_122421_1.jpg,365,104,476,130,0,351,133,473,163,1,231,145,328,170,2,148,202,481,227,3
IMG_20250111_122444.jpg,358,89,479,118,0,343,118,473,155,1,205,114,305,139,2,141,190,483,237,3
IMG_20250111_122453.jpg,348,40,475,74,0,336,76,468,105,1,169,92,425,131,2,109,151,487,546,3
IMG_20250111_122504.jpg,362,80,476,108,0,350,106,469,139,1,192,121,431,160,2,131,174,490,533,3
