nombre_imagen,valor
IMG_20250302_124849_box4_19_7_0_76_31.png,apio
IMG_20250302_124849_box4_20_4_0_103_27.png,brocoli
IMG_20250302_124849_box4_21_4_0_91_29.png,cebolla
IMG_20250302_124849_box4_21_96_2_187_30.png,blanca
IMG_20250302_124849_box4_22_104_0_171_38.png,roja
IMG_20250302_124849_box4_22_1_2_94_29.png,cebolla
IMG_20250302_124849_box4_23_4_1_108_30.png,cebollin
IMG_20250302_124849_box4_24_6_0_130_25.png,cilandro
IMG_20250302_124849_box4_24_304_1_342_29.png,bols
IMG_20250302_124849_box4_25_6_2_113_28.png,espinaca
IMG_20250302_124849_box4_26_6_0_84_28.png,haba
IMG_20250302_124849_box4_27_8_1_138_33.png,huacataya
IMG_20250302_124849_box4_28_6_0_83_23.png,hierba
IMG_20250302_124849_box4_28_301_0_334_24.png,bd
IMG_20250302_124849_box4_28_96_0_177_24.png,buena
IMG_20250302_124849_box4_29_3_1_87_29.png,lechuga
IMG_20250302_124849_box4_29_281_3_330_29.png,bols
IMG_20250302_124849_box4_29_94_0_173_29.png,suiza
IMG_20250302_124849_box4_30_6_0_119_34.png,lechuga
IMG_20250302_124849_box4_30_128_0_237_33.png,seï¿½orita
IMG_20250302_124849_box4_30_290_1_336_31.png,bols
IMG_20250302_124849_box4_31_8_2_109_26.png,locoto
IMG_20250302_124849_box4_32_4_0_129_31.png,pimienta
IMG_20250302_124849_box4_32_136_4_231_31.png,moron
IMG_20250302_124849_box4_33_110_0_251_34.png,holandeza
IMG_20250302_124849_box4_33_4_2_93_33.png,papa
IMG_20250302_124849_box4_34_7_1_96_30.png,papa
IMG_20250302_124849_box4_34_106_1_212_30.png,imilla
IMG_20250302_124849_box4_35_6_2_126_30.png,pepino
IMG_20250302_124849_box4_35_293_2_339_26.png,unid
IMG_20250302_124849_box4_36_13_1_121_27.png,perejil
IMG_20250302_124849_box4_36_288_1_337_25.png,bols
IMG_20250302_124849_box4_37_7_1_125_28.png,tomate
IMG_20250302_124849_box4_37_135_0_208_30.png,chery
IMG_20250302_124955_box4_19_4_1_77_33.png,apio
IMG_20250302_124955_box4_20_6_2_101_29.png,brocoli
IMG_20250302_124955_box4_21_3_1_92_27.png,cebolla
IMG_20250302_124955_box4_21_95_0_184_30.png,blanca
IMG_20250302_124955_box4_22_5_1_95_32.png,cebolla
IMG_20250302_124955_box4_22_103_1_174_34.png,roja
IMG_20250302_124955_box4_23_5_0_103_26.png,cebollin
IMG_20250302_124955_box4_24_303_1_342_26.png,bols
IMG_20250302_124955_box4_24_5_0_121_26.png,cilandro
IMG_20250302_124955_box4_25_6_0_118_22.png,espinaca
IMG_20250302_124955_box4_26_4_1_80_25.png,haba
IMG_20250302_124955_box4_27_4_0_138_31.png,huacataya
IMG_20250302_124955_box4_28_302_2_333_23.png,bd
IMG_20250302_124955_box4_28_3_1_79_25.png,hierba
IMG_20250302_124955_box4_28_94_1_175_24.png,buena
IMG_20250302_124955_box4_29_5_1_87_23.png,lechuga
IMG_20250302_124955_box4_29_95_0_182_26.png,suiza
IMG_20250302_124955_box4_29_291_1_334_22.png,bols
IMG_20250302_124955_box4_30_123_1_237_31.png,seï¿½orita
IMG_20250302_124955_box4_30_3_2_116_35.png,lechuga
IMG_20250302_124955_box4_30_288_1_333_30.png,bols
IMG_20250302_124955_box4_31_3_1_108_30.png,locoto
IMG_20250302_124955_box4_32_6_0_129_27.png,pimiento
IMG_20250302_124955_box4_32_139_2_224_27.png,moron
IMG_20250302_124955_box4_33_3_5_97_31.png,papa
IMG_20250302_124955_box4_33_110_2_247_36.png,holandeza
IMG_20250302_124955_box4_34_4_2_86_31.png,papa
IMG_20250302_124955_box4_34_98_1_205_25.png,imilla
IMG_20250302_124955_box4_35_10_3_137_26.png,pepino
IMG_20250302_124955_box4_35_300_4_348_28.png,unid
IMG_20250302_124955_box4_36_5_2_117_27.png,perejil
IMG_20250302_124955_box4_36_287_2_328_25.png,bols
IMG_20250302_124955_box4_37_12_2_131_28.png,tomate
IMG_20250302_124955_box4_37_138_1_216_28.png,chery
IMG_20250302_125220_box4_19_7_3_77_31.png,apio
IMG_20250302_125220_box4_20_6_0_101_29.png,brocoli
IMG_20250302_125220_box4_21_4_0_89_26.png,cebolla
IMG_20250302_125220_box4_21_93_0_184_27.png,blanca
IMG_20250302_125220_box4_22_108_1_178_34.png,roja
IMG_20250302_125220_box4_22_6_1_93_30.png,cebolla
IMG_20250302_125220_box4_23_3_1_105_27.png,cebollin
IMG_20250302_125220_box4_24_3_2_116_23.png,cilandro
IMG_20250302_125220_box4_24_303_0_343_25.png,bols
IMG_20250302_125220_box4_25_6_1_116_26.png,espinaca
IMG_20250302_125220_box4_26_6_0_86_27.png,haba
IMG_20250302_125220_box4_27_6_2_136_27.png,huacataya
IMG_20250302_125220_box4_28_4_2_86_24.png,hierba
IMG_20250302_125220_box4_28_300_2_332_24.png,bd
IMG_20250302_125220_box4_28_95_0_180_25.png,buena
IMG_20250302_125220_box4_29_13_1_95_27.png,lechuga
IMG_20250302_125220_box4_29_102_1_183_26.png,suiza
IMG_20250302_125220_box4_29_290_2_339_26.png,bols
IMG_20250302_125220_box4_30_6_0_119_32.png,lechuga
IMG_20250302_125220_box4_30_128_2_245_27.png,seï¿½orita
IMG_20250302_125220_box4_30_292_1_337_25.png,bols
IMG_20250302_125220_box4_31_6_1_110_27.png,locoto
IMG_20250302_125220_box4_32_134_4_222_25.png,moron
IMG_20250302_125220_box4_32_4_1_124_28.png,pimiento
IMG_20250302_125220_box4_33_3_5_94_31.png,papa
IMG_20250302_125220_box4_34_1_0_88_37.png,papa
IMG_20250302_125220_box4_35_299_2_344_21.png,unid
IMG_20250302_125220_box4_36_286_1_333_29.png,bols
IMG_20250302_125220_box4_37_132_0_211_27.png,chery
IMG_20250302_125330_box4_13_7_0_112_31.png,frutilla
IMG_20250302_125330_box4_15_7_3_154_27.png,mandarina
IMG_20250302_125330_box4_16_131_1_203_33.png,roja
IMG_20250302_125330_box4_18_5_5_99_34.png,palta
IMG_20250302_125330_box4_20_151_4_201_24.png,unid
IMG_20250302_125330_box4_21_2_1_108_30.png,sandia
IMG_20250302_125330_box4_22_85_1_168_25.png,verde
IMG_20250302_125330_box4_23_85_0_189_25.png,rosada
IMG_20250302_125330_box4_24_184_2_222_25.png,tol
IMG_20250302_125330_box4_25_1_0_44_23.png,nn
IMG_20250302_125543_box4_10_7_1_148_33.png,quiquiï¿½a
IMG_20250302_125543_box4_12_6_0_108_31.png,tomate
IMG_20250302_125543_box4_13_142_1_199_26.png,bebe
IMG_20250302_125543_box4_15_4_2_112_25.png,platano
IMG_20250302_125543_box4_9_3_0_102_29.png,lechuga
IMG_20250302_125543_box4_9_285_1_337_27.png,no
IMG_20250302_125641_box4_13_3_0_96_28.png,choclo
IMG_20250302_125220_box4_33_108_0_247_37.png,holandeza
IMG_20250302_125220_box4_34_101_1_204_28.png,imilla
IMG_20250302_125220_box4_35_11_4_129_22.png,pepino
IMG_20250302_125220_box4_36_6_1_119_31.png,perejil
IMG_20250302_125220_box4_37_8_1_126_27.png,tomate
IMG_20250302_125330_box4_12_5_3_143_33.png,zanahoria
IMG_20250302_125330_box4_14_7_2_98_31.png,limon
IMG_20250302_125330_box4_16_2_4_124_33.png,manzana
IMG_20250302_125330_box4_17_5_6_150_38.png,naranja
IMG_20250302_125330_box4_19_6_2_112_30.png,papaya
IMG_20250302_125330_box4_20_5_1_93_27.png,piï¿½a
IMG_20250302_125330_box4_22_6_2_77_26.png,uva
IMG_20250302_125330_box4_23_5_0_70_27.png,uva
IMG_20250302_125330_box4_24_0_2_43_28.png,n
IMG_20250302_125330_box4_25_197_1_246_25.png,total
IMG_20250302_125330_box4_26_7_0_132_29.png,total
IMG_20250302_125543_box4_11_2_1_110_27.png,romero
IMG_20250302_125543_box4_13_7_3_130_33.png,zanahoria
IMG_20250302_125543_box4_14_4_1_149_33.png,arandano
IMG_20250302_125543_box4_8_5_2_87_36.png,arveja
IMG_20250302_125543_box4_9_105_0_193_27.png,morada
IMG_20250302_125641_box4_12_6_1_128_35.png,albahaca
IMG_20250302_125641_box4_14_3_4_108_31.png,cilandro
IMG_20250302_125641_box4_15_2_0_126_27.png,espinaca
IMG_20250302_125641_box4_16_5_5_70_29.png,hierba
IMG_20250302_125641_box4_16_79_4_150_32.png,buena
IMG_20250302_125641_box4_17_2_2_142_37.png,huacataya
IMG_20250302_125641_box4_18_4_3_136_27.png,naranja
IMG_20250302_125641_box4_19_9_7_114_35.png,papaya
IMG_20250302_125641_box4_20_12_6_103_32.png,perejil
IMG_20250302_125641_box4_21_7_2_93_28.png,piï¿½a
IMG_20250302_125641_box4_22_5_4_122_34.png,platano
IMG_20250302_125641_box4_23_6_3_131_35.png,sandia
IMG_20250302_125641_box4_23_210_6_253_27.png,kilo
IMG_20250302_125641_box4_25_3_0_80_26.png,uva
IMG_20250302_125713_box4_4_1_3_68_37.png,papa
IMG_20250302_125713_box4_4_80_1_208_36.png,holandeza
IMG_20250302_125713_box4_5_2_0_89_26.png,choclo
IMG_20250302_125713_box4_6_4_0_101_27.png,cebolla
IMG_20250302_125713_box4_6_107_1_178_31.png,roja
IMG_20250302_125713_box4_7_5_4_126_28.png,manzana
IMG_20250302_125713_box4_7_132_1_205_24.png,verde
IMG_20250302_125713_box4_8_1_0_158_25.png,arandano
IMG_20250302_125928_box4_14_224_13_274_35.png,unid
IMG_20250302_125928_box4_14_9_2_105_36.png,limon
IMG_20250302_125928_box4_15_5_3_98_33.png,cebolla
IMG_20250302_125928_box4_15_101_2_198_35.png,blanca
IMG_20250302_125928_box4_16_5_2_120_30.png,cebollin
IMG_20250302_125928_box4_16_308_12_332_35.png,gr
IMG_20250302_125928_box4_17_274_13_305_35.png,gr
IMG_20250302_125928_box4_17_3_5_57_38.png,ajo
IMG_20250302_125928_box4_18_312_2_339_31.png,kgr
IMG_20250302_125928_box4_18_7_3_111_32.png,puerro
IMG_20250302_125928_box4_19_3_3_79_31.png,papa
IMG_20250302_125928_box4_19_91_1_195_30.png,imilla
IMG_20250302_125928_box4_20_5_1_156_30.png,zuquini
IMG_20250302_125928_box4_21_10_1_158_28.png,zanahoria
IMG_20250302_125928_box4_22_3_0_114_32.png,brocoli
IMG_20250302_125928_box4_22_282_5_309_31.png,k
IMG_20250302_125928_box4_23_4_3_127_34.png,coliflor
IMG_20250302_125928_box4_23_261_8_289_29.png,k
IMG_20250302_125928_box4_24_12_1_120_30.png,tomate
IMG_20250302_125928_box4_25_7_2_121_28.png,locoto
IMG_20250302_125928_box4_26_4_2_151_34.png,quirquiï¿½a
IMG_20250302_125928_box4_27_3_0_118_28.png,vainita
IMG_20250302_125958_box4_10_5_1_158_29.png,arandano
IMG_20250302_125958_box4_10_284_1_305_26.png,k
IMG_20250302_125958_box4_11_3_3_77_33.png,papa
IMG_20250302_125958_box4_11_182_3_238_32.png,boca
IMG_20250302_125958_box4_11_92_1_172_34.png,pinta
IMG_20250302_125958_box4_6_309_7_347_34.png,unid
IMG_20250302_125958_box4_6_4_5_177_40.png,maracuya
IMG_20250302_125958_box4_7_0_0_121_30.png,frutilla
IMG_20250302_125958_box4_8_1_1_147_42.png,frambueza
IMG_20250302_125958_box4_9_4_1_99_27.png,mora
IMG_20250302_130030_box4_18_3_0_73_29.png,apio
IMG_20250302_130030_box4_19_8_1_102_29.png,cebollin
IMG_20250302_130030_box4_20_3_1_113_27.png,cilandro
IMG_20250302_130030_box4_21_4_2_101_26.png,espinaca
IMG_20250302_130030_box4_22_3_0_96_26.png,frutilla
IMG_20250302_130030_box4_23_4_1_87_28.png,hierba
IMG_20250302_125641_box4_24_8_2_83_26.png,uva
IMG_20250302_130030_box4_23_85_0_163_27.png,buena
IMG_20250302_130030_box4_24_110_1_199_28.png,mixta
IMG_20250302_130030_box4_24_1_0_103_31.png,lechuga
IMG_20250302_130030_box4_24_309_4_347_28.png,bebe
